,original,detected,count
0,HipHop,WorldMusic,4
1,Electronic,Electronic,13
2,Electronic,Metal,4
3,Metal,Klassik,5
4,Electronic,Pop,18
5,Metal,Pop,6
6,Rock,WorldMusic,10
7,Pop,Soundtrack,8
8,Rock,Soundtrack,3
9,Electronic,Reggae,10
10,Reggae,Rock,11
11,WorldMusic,HipHop,11
12,Reggae,Electronic,12
13,WorldMusic,Jazz,11
14,Electronic,HipHop,9
15,HipHop,Rock,12
16,Soundtrack,Soundtrack,12
17,Pop,Reggae,7
18,Rock,Rock,11
19,Pop,Klassik,5
20,Pop,Rock,17
21,Electronic,Klassik,5
22,Electronic,Rock,19
23,WorldMusic,Klassik,10
24,Pop,WorldMusic,5
25,Rock,Reggae,4
26,Metal,Jazz,1
27,Reggae,Metal,8
28,HipHop,Klassik,6
29,WorldMusic,WorldMusic,7
30,WorldMusic,Reggae,10
31,Rock,HipHop,15
32,Soundtrack,Klassik,15
33,HipHop,Reggae,16
34,Metal,Metal,28
35,WorldMusic,Pop,12
36,Metal,Reggae,9
37,Metal,WorldMusic,9
38,Reggae,Reggae,13
39,Rock,Klassik,5
40,Soundtrack,HipHop,9
41,HipHop,Jazz,3
42,Soundtrack,Electronic,5
43,Soundtrack,Rock,7
44,Reggae,Jazz,7
45,Pop,HipHop,8
46,HipHop,Pop,7
47,Reggae,Soundtrack,7
48,Metal,Rock,13
49,HipHop,Metal,18
50,WorldMusic,Rock,13
51,Pop,Pop,21
52,Pop,Jazz,13
53,Reggae,HipHop,22
54,WorldMusic,Electronic,8
55,Electronic,WorldMusic,7
56,Reggae,WorldMusic,6
57,Soundtrack,Pop,13
58,Rock,Jazz,9
59,Rock,Electronic,9
60,Rock,Metal,11
61,Metal,Electronic,5
62,HipHop,Electronic,5
63,Electronic,Soundtrack,6
64,Reggae,Klassik,3
65,HipHop,HipHop,25
66,Electronic,Jazz,9
67,Soundtrack,WorldMusic,13
68,Pop,Metal,2
69,Metal,HipHop,24
70,Pop,Electronic,14
71,HipHop,Soundtrack,4
72,Soundtrack,Reggae,9
73,WorldMusic,Metal,9
74,Soundtrack,Jazz,17
75,Rock,Pop,23
76,WorldMusic,Soundtrack,9
77,Reggae,Pop,11
